,dep_acc,anx_acc,sts_acc,tot_acc
lin,0.718541797611565,0.572972972972973,0.8580766813324953,0.7165304839723444
GBN,0.7445631678189818,0.7309868007542426,0.7360150848522942,0.7371883511418394
log,0.8345694531741044,0.8066624764299183,0.8426147077309868,0.8279488791116698
KNN,0.8214959145191704,0.712884978001257,0.7609050911376493,0.7650953278860255
DT,0.4186046511627907,0.5971087366436204,0.522438717787555,0.5127173685313221
SVM,0.4458830923947203,0.6140791954745443,0.4781898177247014,0.512717368531322
